route_id,route_week,split,row_count,delivery_stop_count,strict_primary,route_start_depot_anchor,repeated_stop_event_key,has_repeated_stop_id
6,0,training,14,13,True,True,True,False
7,0,training,15,14,True,True,True,False
9,0,training,11,10,True,True,True,False
10,0,training,23,15,False,False,True,True
13,0,training,15,14,True,True,True,False
15,0,training,14,13,True,True,True,False
16,0,training,15,14,True,True,True,False
18,0,training,24,23,True,True,True,False
19,0,training,17,16,True,True,True,False
20,0,training,15,14,True,True,True,False
21,0,training,17,16,True,True,True,False
22,0,training,12,11,True,True,True,False
23,0,training,23,22,True,True,True,False
24,0,training,14,13,True,True,True,False
25,0,training,23,22,True,True,True,False
26,0,training,11,10,True,True,True,False
27,0,training,24,22,False,False,True,True
28,0,training,17,15,False,False,True,True
30,0,training,18,17,True,True,True,False
31,0,training,15,14,True,True,True,False
33,0,training,14,13,True,True,True,False
35,0,training,15,12,False,False,True,True
36,0,training,17,16,True,True,True,False
37,0,training,17,16,True,True,True,False
39,0,training,24,23,True,True,True,False
40,0,training,14,13,True,True,True,False
41,0,training,16,15,True,True,True,False
42,0,training,18,17,True,True,True,False
43,0,training,17,16,True,True,True,False
46,0,training,12,11,True,True,True,False
48,0,training,22,21,True,True,True,False
52,0,training,19,18,True,True,True,False
53,0,training,17,16,True,True,True,False
54,0,training,14,12,False,False,True,True
55,0,training,21,19,False,False,True,True
56,0,training,11,10,True,True,True,False
58,0,training,11,10,True,True,True,False
59,0,training,25,22,False,False,True,True
61,0,training,18,17,True,True,True,False
62,0,training,15,14,True,True,True,False
63,0,training,19,12,False,False,True,True
66,0,training,11,10,True,True,True,False
67,0,training,17,16,True,True,True,False
72,0,training,15,14,True,True,True,False
75,0,training,15,13,False,False,True,True
78,0,training,12,11,True,True,True,False
79,0,training,12,10,False,False,True,True
85,0,training,12,11,True,True,True,False
99,0,training,12,11,True,True,True,False
102,0,training,11,10,True,True,True,False
106,0,training,12,11,True,True,True,False
107,0,training,16,15,True,True,True,False
108,0,training,17,16,True,True,True,False
109,0,training,12,11,True,True,True,False
110,0,training,18,17,True,True,True,False
111,0,training,13,12,True,True,True,False
112,0,training,15,14,True,True,True,False
113,0,training,14,13,True,True,True,False
115,0,training,14,13,True,True,True,False
117,0,training,13,11,False,False,True,True
118,0,training,16,15,True,True,True,False
119,0,training,12,11,True,True,True,False
120,0,training,23,22,True,True,True,False
121,0,training,13,12,True,True,True,False
122,0,training,14,13,True,True,True,False
123,0,training,17,16,True,True,True,False
126,0,training,11,10,True,True,True,False
127,0,training,19,17,False,False,True,True
128,0,training,16,15,True,True,True,False
129,0,training,13,10,False,False,True,True
130,0,training,14,13,True,True,True,False
132,0,training,16,15,True,True,True,False
135,0,training,12,11,True,True,True,False
140,0,training,19,18,True,True,True,False
141,0,training,12,10,False,False,True,True
142,0,training,17,15,False,False,True,True
145,0,training,12,11,True,True,True,False
146,0,training,17,16,True,True,True,False
147,0,training,13,12,True,True,True,False
148,0,training,16,15,True,True,True,False
150,0,training,14,13,True,True,True,False
154,0,training,22,20,False,False,True,True
158,0,training,13,10,False,False,True,True
159,0,training,11,10,True,True,True,False
161,0,training,11,10,True,True,True,False
163,0,training,18,17,False,False,True,True
171,0,training,17,14,True,True,True,False
172,0,training,13,12,True,True,True,False
178,0,training,11,10,True,True,True,False
179,0,training,12,11,True,True,True,False
188,0,training,16,15,True,True,True,False
198,0,training,15,14,True,True,True,False
200,0,training,12,11,True,True,True,False
201,0,training,13,12,True,True,True,False
205,0,training,15,13,False,False,True,True
208,0,training,12,11,True,True,True,False
210,0,training,14,12,False,False,True,True
211,0,training,15,14,True,True,True,False
212,0,training,24,22,False,False,True,True
213,0,training,18,17,True,True,True,False
214,0,training,12,11,True,True,True,False
216,0,training,14,13,True,True,True,False
217,0,training,15,14,True,True,True,False
218,0,training,12,11,True,True,True,False
219,0,training,14,13,True,True,True,False
220,0,training,12,11,True,True,True,False
221,0,training,15,14,False,False,True,True
226,0,training,16,14,False,False,True,True
229,0,training,16,14,False,False,True,True
230,0,training,16,13,False,False,True,True
231,0,training,12,11,True,True,True,False
232,0,training,12,11,True,True,True,False
233,0,training,23,22,True,True,True,False
235,0,training,13,12,True,True,True,False
236,0,training,21,20,True,True,True,False
238,0,training,21,20,True,True,True,False
240,0,training,17,16,True,True,True,False
243,0,training,14,13,True,True,True,False
245,0,training,13,12,True,True,True,False
246,0,training,18,15,False,False,True,True
247,0,training,12,11,True,True,True,False
248,0,training,13,12,True,True,True,False
249,0,training,23,21,False,False,True,True
250,0,training,14,12,False,False,True,True
251,0,training,21,20,True,True,True,False
252,0,training,17,16,True,True,True,False
253,0,training,12,11,True,True,True,False
254,0,training,25,22,False,False,True,True
256,0,training,16,15,True,True,True,False
261,0,training,12,11,True,True,True,False
262,0,training,11,10,True,True,True,False
263,0,training,12,11,True,True,True,False
264,0,training,16,15,True,True,True,False
265,0,training,15,14,True,True,True,False
269,0,training,18,14,False,False,True,True
270,0,training,20,17,False,False,True,True
273,0,training,24,23,False,False,True,True
277,0,training,19,18,True,True,True,False
278,0,training,11,10,True,True,True,False
281,0,training,14,13,True,True,True,False
285,0,training,15,14,False,False,True,True
287,0,training,12,10,True,False,True,False
299,0,training,16,14,False,False,True,True
300,0,training,17,16,True,True,True,False
301,0,training,18,11,False,False,True,True
302,0,training,15,14,True,True,True,False
308,0,training,11,10,True,True,True,False
